Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Anchor Bakery        [ÿproductÿdetailsÿ],Infused,4628,1.9,6.36,3.4x,415961
Root Down        [ÿproductÿdetailsÿ],Preroll 1.0g,8512,1.91,5.55,2.9x,412273
G-7 Grow        [ÿproductÿdetailsÿ],Flower 1.0g,4654,1.92,6.83,3.6x,417526
Canna Organix        [ÿproductÿdetailsÿ],Preroll 0.5g,5572,1.94,5.71,2.9x,415835
Virginia Company        [ÿproductÿdetailsÿ],Preroll 0.75g,47776,1.94,5.72,3.0x,414038
Ninja Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,23675,1.94,5.55,2.9x,417001
Bondi Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,49688,1.96,7.14,3.7x,412141
"M-r Wholesale, LLC        [ÿproductÿdetailsÿ]",Preroll 1.0g,4061,1.96,6.1,3.1x,412634
Lm Digital        [ÿproductÿdetailsÿ],Preroll 1.0g,4400,1.96,6.08,3.1x,417214
Central Farms LLC        [ÿproductÿdetailsÿ],Flower 1.0g,18495,1.96,6.92,3.5x,412792
Kali Products        [ÿproductÿdetailsÿ],Flower 1.0g,3261,1.96,7.36,3.8x,416973
Sticky Budz        [ÿproductÿdetailsÿ],Preroll 1.0g,7900,1.97,5.78,2.9x,412076
Walden Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,28047,1.98,7.1,3.6x,412024
Botanica Seattle        [ÿproductÿdetailsÿ],Preroll 1.0g,14463,1.99,6.17,3.1x,412723
Tropic Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,5760,2,6.01,3.0x,412106
4evergreen Trees        [ÿproductÿdetailsÿ],Preroll 0.75g,2676,2,5.74,2.9x,413855
Saturn Group        [ÿproductÿdetailsÿ],Preroll 1.0g,27276,2,6.03,3.0x,412112
Gensys One        [ÿproductÿdetailsÿ],Preroll 1.0g,1000,2,5.1,2.6x,412593
Inland Empire Growing        [ÿproductÿdetailsÿ],Preroll 1.0g,12790,2,6.62,3.3x,412760
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 1.0g,6958,2,5.62,2.8x,412762
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 1.0g,1970,2,6.42,3.2x,412882
Conscious Family Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1800,2,6.24,3.1x,413431
W.o.w. Industries        [ÿproductÿdetailsÿ],Preroll 1.0g,1222,2,5.56,2.8x,413922
420 Natural        [ÿproductÿdetailsÿ],Preroll 1.0g,3500,2,6.43,3.2x,416426
Boggy Boon        [ÿproductÿdetailsÿ],Preroll 1.0g,13941,2,7.24,3.6x,416935
Landrace        [ÿproductÿdetailsÿ],Preroll 1.0g,2530,2,7.22,3.6x,419395
Driftboat        [ÿproductÿdetailsÿ],Preroll 1.25g,2298,2,7.88,3.9x,416551
Northwest Recreational        [ÿproductÿdetailsÿ],Flower 1.0g,1400,2,5.3,2.7x,412612
The Calyx Company        [ÿproductÿdetailsÿ],Flower 1.0g,1500,2,7.91,4.0x,412688
Essential Flower        [ÿproductÿdetailsÿ],Flower 1.0g,1980,2,6.14,3.1x,414233
Cannavision        [ÿproductÿdetailsÿ],Flower 1.0g,1372,2,4.92,2.5x,415717
Landrace        [ÿproductÿdetailsÿ],Flower 1.0g,9686,2,6.1,3.0x,419395
Hill Top Growers        [ÿproductÿdetailsÿ],Flower 1.0g,3796,2,6.41,3.2x,425153
Honu Enterprises        [ÿproductÿdetailsÿ],Infused,1605,2,5.46,2.7x,412097
Hannah Industries        [ÿproductÿdetailsÿ],Preroll 0.5g,3508,2.01,5.19,2.6x,424223
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Flower 1.0g,51968,2.02,7,3.5x,416502
The Plant Factory        [ÿproductÿdetailsÿ],Preroll 1.0g,1452,2.03,6.29,3.1x,416827
New Horizon Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,9637,2.04,6.13,3.0x,415752
Son Lux        [ÿproductÿdetailsÿ],Flower 1.0g,3220,2.04,6.93,3.4x,416566
Grow Op Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,454086,2.05,6.08,3.0x,413287
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 0.5g,1126,2.06,4.79,2.3x,412720
Dogtown Pioneers        [ÿproductÿdetailsÿ],Flower 1.0g,10741,2.06,6.38,3.1x,416538
