Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
THC Express        [ÿproductÿdetailsÿ],Edible,5745,2.13,6.03,2.8x,422094
Kush Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1288,2.15,6.97,3.2x,414287
Poorman Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,4888,2.15,7.92,3.7x,415921
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.0g,5771,2.16,7.15,3.3x,412358
Sticky Budz        [ÿproductÿdetailsÿ],Flower 1.0g,40179,2.16,7.29,3.4x,412076
Landrace        [ÿproductÿdetailsÿ],Flower 1.0g,9160,2.16,6.53,3.0x,419395
Methow Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2500,2.17,7.7,3.6x,412875
The Lazy Bee Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,7811,2.18,7.95,3.6x,412597
Forbidden Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3400,2.19,6.67,3.0x,412274
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 1.0g,9046,2.19,6.57,3.0x,412952
Hypothesis Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,7681,2.2,6.61,3.0x,416519
Manastash Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,4670,2.21,7,3.2x,413123
Fourdub        [ÿproductÿdetailsÿ],Flower 1.0g,2012,2.21,7.81,3.5x,413165
Cedar Creek Cannabis        [ÿproductÿdetailsÿ],Preroll 0.5g,8731,2.22,7.04,3.2x,415971
Acme Acres LLC        [ÿproductÿdetailsÿ],Flower 1.0g,6259,2.22,6.63,3.0x,412892
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,16162,2.23,4.41,2.0x,417001
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 1.0g,21488,2.24,6.38,2.8x,412720
Royal Tree Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,7515,2.25,6.89,3.1x,412425
Avitas        [ÿproductÿdetailsÿ],Preroll 0.75g,1690,2.25,7.65,3.4x,412759
Interstate 502        [ÿproductÿdetailsÿ],Preroll 1.0g,1688,2.25,2.96,1.3x,413379
Cordus        [ÿproductÿdetailsÿ],Preroll 1.0g,7369,2.25,7.77,3.5x,418921
Sativa Group        [ÿproductÿdetailsÿ],Preroll 1.0g,21456,2.25,7.3,3.2x,422627
American Best Supply        [ÿproductÿdetailsÿ],Flower 1.0g,2620,2.25,5.82,2.6x,412624
The Happy Crowd        [ÿproductÿdetailsÿ],Flower 1.0g,1125,2.25,5.86,2.6x,416843
Sasquatch Greenhouses        [ÿproductÿdetailsÿ],Flower 1.0g,1608,2.26,6.99,3.1x,412208
Perma        [ÿproductÿdetailsÿ],Flower 1.0g,2341,2.27,9.11,4.0x,416124
Green Acre Pharms        [ÿproductÿdetailsÿ],Preroll 1.0g,10060,2.31,7.13,3.1x,413099
Mountain High Garden        [ÿproductÿdetailsÿ],Flower 1.0g,1410,2.31,7.36,3.2x,415955
Emerald Peaks        [ÿproductÿdetailsÿ],Edible,2646,2.31,7.12,3.1x,416198
Cascade Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2536,2.32,7.21,3.1x,412180
Klaritie Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1920,2.33,7.14,3.1x,419959
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 1.0g,4097,2.34,7.21,3.1x,412258
Platinum Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,4664,2.34,8.67,3.7x,417200
Honey Creek Enterprises        [ÿproductÿdetailsÿ],Preroll 1.25g,1067,2.34,8.9,3.8x,416517
C Block Group        [ÿproductÿdetailsÿ],Flower 1.0g,6562,2.36,8.93,3.8x,412728
Walden Cannabis        [ÿproductÿdetailsÿ],Flower 2.0g,1900,2.37,10.28,4.3x,412024
Sky High Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,8378,2.39,6.89,2.9x,424091
The Green Company        [ÿproductÿdetailsÿ],Flower 1.0g,3050,2.39,11.71,4.9x,412403
5th House Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2106,2.39,9.28,3.9x,416057
Leef        [ÿproductÿdetailsÿ],Preroll 1.0g,3372,2.41,8.43,3.5x,413085
Agrijuana        [ÿproductÿdetailsÿ],Preroll 1.0g,4028,2.41,9.86,4.1x,415998
Binx Buds        [ÿproductÿdetailsÿ],Flower 1.0g,6088,2.41,7.73,3.2x,425099
Northwest Finest        [ÿproductÿdetailsÿ],Preroll 1.0g,3312,2.42,6.51,2.7x,416499
Quality Brand        [ÿproductÿdetailsÿ],Flower 1.0g,26049,2.42,7.33,3.0x,417229
G-7 Grow        [ÿproductÿdetailsÿ],Flower 1.0g,2700,2.42,7.79,3.2x,417526
Golden Tree        [ÿproductÿdetailsÿ],Preroll 1.0g,7490,2.43,7.59,3.1x,416107
New Horizon Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,6692,2.43,7.7,3.2x,415752
Quincy Green        [ÿproductÿdetailsÿ],Infused,3338,2.43,8.94,3.7x,412358
Footprint Biosciences        [ÿproductÿdetailsÿ],Infused,1573,2.43,6.52,2.7x,419152
Serenity Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,1136,2.45,8.79,3.6x,416194
Pacific Glo        [ÿproductÿdetailsÿ],Flower 1.0g,13423,2.47,7.22,2.9x,422928
Spinning Heads        [ÿproductÿdetailsÿ],Preroll 1.0g,7589,2.48,8.68,3.5x,413718
"Pacala,  Inc        [ÿproductÿdetailsÿ]",Preroll 1.0g,6347,2.48,7.88,3.2x,415970
The Lazy Bee Gardens        [ÿproductÿdetailsÿ],Preroll 1.25g,10190,2.49,7.88,3.2x,412597
Bulldog Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,4198,2.5,8.15,3.3x,412050
Billy's Goat (greatest of All Things)        [ÿproductÿdetailsÿ],Preroll 1.0g,1750,2.5,8.03,3.2x,412179
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Preroll 1.0g,1625,2.5,5.9,2.4x,412435
Cloud 9 Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1380,2.5,7.55,3.0x,412704
Double Dutch        [ÿproductÿdetailsÿ],Preroll 1.0g,5528,2.5,7.9,3.2x,413084
Forte Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2500,2.5,6.46,2.6x,416431
Dandelion Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,4188,2.5,7.9,3.2x,417155
J.e.t.        [ÿproductÿdetailsÿ],Preroll 1.25g,1337,2.5,7.15,2.9x,416990
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.25g,2500,2.5,9.35,3.7x,421941
Kouchlock Productions        [ÿproductÿdetailsÿ],Flower 1.0g,9372,2.5,7.69,3.1x,412630
Methow Growers        [ÿproductÿdetailsÿ],Flower 2.0g,1000,2.5,9.44,3.8x,412875
Natural Mystic Farms        [ÿproductÿdetailsÿ],Flower 1.0g,11865,2.52,8.93,3.5x,412155
Experience Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,6934,2.53,8.16,3.2x,412072
Budco Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2597,2.53,7.48,3.0x,412902
Quincy Green        [ÿproductÿdetailsÿ],Flower 1.0g,6522,2.53,8.31,3.3x,412358
Double Delicious        [ÿproductÿdetailsÿ],Flower 1.0g,7598,2.53,8.38,3.3x,414462
Double Delicious        [ÿproductÿdetailsÿ],Preroll 1.0g,3131,2.54,8.02,3.2x,414462
Edgemont Group        [ÿproductÿdetailsÿ],Preroll 1.0g,6132,2.54,7.77,3.1x,422993
Viva Cannabis        [ÿproductÿdetailsÿ],Infused,29642,2.54,9.41,3.7x,416609
Propacwa        [ÿproductÿdetailsÿ],Flower 1.0g,4532,2.55,8.35,3.3x,413133
Curious Crow Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,6794,2.56,8.25,3.2x,416657
Lm Digital        [ÿproductÿdetailsÿ],Flower 1.0g,1482,2.57,7.59,3.0x,417214
Sgb        [ÿproductÿdetailsÿ],Preroll 0.75g,3221,2.58,8.34,3.2x,412621
Forte Farms        [ÿproductÿdetailsÿ],Flower 1.0g,19223,2.58,7.83,3.0x,416431
Skagit Organics        [ÿproductÿdetailsÿ],Flower 1.0g,14739,2.59,7.15,2.8x,412843
Rochester Farms        [ÿproductÿdetailsÿ],Flower 1.0g,16396,2.59,8.58,3.3x,413002
Kush Farms        [ÿproductÿdetailsÿ],Flower 1.0g,19996,2.59,8.74,3.4x,414287
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 1.0g,3269,2.61,8.5,3.3x,416942
Eco Ventures        [ÿproductÿdetailsÿ],Flower 1.0g,4286,2.61,8.92,3.4x,416853
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,8082,2.61,9.77,3.7x,416902
Klaritie Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3985,2.61,8.68,3.3x,419959
Blue Sky Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1129,2.63,9.11,3.5x,412969
Stryps        [ÿproductÿdetailsÿ],Infused,15950,2.65,7.58,2.9x,417285
Cannasol Farms        [ÿproductÿdetailsÿ],Preroll 1.5g,2675,2.67,7.9,3.0x,412240
Yield Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1388,2.67,7.18,2.7x,412337
Twenty Plus        [ÿproductÿdetailsÿ],Flower 1.0g,18929,2.67,8.87,3.3x,413088
