Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Twenty Plus        [ÿproductÿdetailsÿ],Flower 1.0g,12203,2.51,8.27,3.3x,413088
Lopez And Orr Co        [ÿproductÿdetailsÿ],Flower 1.0g,7427,2.54,9.46,3.7x,417295
Budco Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,4550,2.55,7.13,2.8x,412902
The Lazy Bee Gardens        [ÿproductÿdetailsÿ],Preroll 1.25g,7256,2.55,8.78,3.4x,412597
Pingston Creek Botanical        [ÿproductÿdetailsÿ],Flower 1.0g,6053,2.56,9.69,3.8x,412826
Rochester Farms        [ÿproductÿdetailsÿ],Flower 1.0g,12354,2.56,8.54,3.3x,413002
D And S Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1138,2.59,10.22,3.9x,412831
Doc Croc        [ÿproductÿdetailsÿ],Preroll 1.0g,1324,2.6,6.86,2.6x,413948
The High Road        [ÿproductÿdetailsÿ],Preroll 1.0g,4150,2.6,7.12,2.7x,415739
Double Delicious        [ÿproductÿdetailsÿ],Flower 1.0g,9145,2.6,8.99,3.5x,414462
Fire Four LLC        [ÿproductÿdetailsÿ],Flower 1.0g,1917,2.61,8.95,3.4x,416795
Pingston Creek Botanical        [ÿproductÿdetailsÿ],Preroll 1.0g,1633,2.62,8.67,3.3x,412826
Happy Trailz        [ÿproductÿdetailsÿ],Flower 1.0g,1390,2.62,8.3,3.2x,416744
Cordus        [ÿproductÿdetailsÿ],Flower 1.0g,7635,2.62,10.24,3.9x,418921
Lost Lake Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,2480,2.63,9.61,3.7x,412978
Anchor Bakery        [ÿproductÿdetailsÿ],Flower 1.0g,10704,2.63,8.69,3.3x,415961
Ag Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,3520,2.64,7.57,2.9x,412557
Sky Standard Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,1768,2.65,7.88,3.0x,415980
Puffin Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,10639,2.65,8.27,3.1x,413021
Old Mcdonald's Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,2364,2.65,7.55,2.8x,415857
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 1.0g,5938,2.65,8.55,3.2x,416942
Edgemont Group        [ÿproductÿdetailsÿ],Preroll 1.0g,4783,2.65,8.02,3.0x,422993
Emerald Twist        [ÿproductÿdetailsÿ],Flower 1.0g,1452,2.65,7.74,2.9x,414323
Ahui        [ÿproductÿdetailsÿ],Flower 1.0g,2853,2.67,12.09,4.5x,412015
Capital Green        [ÿproductÿdetailsÿ],Flower 1.0g,2082,2.67,8.42,3.2x,416196
Northwest 7 Point        [ÿproductÿdetailsÿ],Flower 1.0g,2840,2.68,8.35,3.1x,412441
Monkey Grass Farms        [ÿproductÿdetailsÿ],Flower 1.0g,7027,2.68,9.45,3.5x,412618
Cloudy Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,4583,2.69,8.2,3.0x,417349
