Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Royal Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,16426,1.88,5.02,2.7x,413723
Footprint Biosciences        [ÿproductÿdetailsÿ],Flower 1.0g,1683,1.88,4.82,2.6x,419152
Bella Jane's        [ÿproductÿdetailsÿ],Preroll 1.0g,10886,1.89,5.94,3.1x,416762
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 0.75g,4350,1.91,6.14,3.2x,412882
Green & Golden        [ÿproductÿdetailsÿ],Flower 1.0g,4481,1.92,7.53,3.9x,415710
Eagle Tree Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1222,1.93,5.55,2.9x,422190
Fourdub        [ÿproductÿdetailsÿ],Preroll 1.0g,17716,1.93,6.48,3.4x,413165
Acme Acres LLC        [ÿproductÿdetailsÿ],Flower 1.0g,6730,1.93,6.87,3.6x,412892
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Flower 1.0g,22884,1.93,6.84,3.5x,416502
Oberfelder Holdings        [ÿproductÿdetailsÿ],Preroll 1.0g,12542,1.94,4.81,2.5x,412286
Hanging Gardens of Central Washington        [ÿproductÿdetailsÿ],Flower 1.0g,1631,1.94,6.89,3.6x,416134
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,1485,1.95,5.72,2.9x,412630
Mas Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2123,1.95,8.57,4.4x,414232
Walden Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,23198,1.95,7.95,4.1x,412024
Pdt Technologies        [ÿproductÿdetailsÿ],Flower 1.0g,2301,1.95,5.95,3.0x,415707
Premium Cannabis Producers LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,1943,1.96,5.9,3.0x,417051
Virginia Company        [ÿproductÿdetailsÿ],Preroll 0.75g,21546,1.96,6.16,3.1x,414038
Doctor And Crook        [ÿproductÿdetailsÿ],Preroll 1.0g,9706,1.97,6.58,3.3x,416831
Agro Technic        [ÿproductÿdetailsÿ],Flower 1.0g,2394,1.97,6.1,3.1x,412266
Canna Organix        [ÿproductÿdetailsÿ],Preroll 0.5g,5191,1.98,5.64,2.8x,415835
Rolling Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,15627,1.98,7.25,3.7x,416113
Medusa Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,9396,1.98,6.39,3.2x,412294
The Clone Zone        [ÿproductÿdetailsÿ],Preroll 1.0g,5495,1.99,6.95,3.5x,412598
Botanica Seattle        [ÿproductÿdetailsÿ],Preroll 1.0g,7573,1.99,6.59,3.3x,412723
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 1.0g,10980,1.99,6.15,3.1x,412762
Botanica Seattle        [ÿproductÿdetailsÿ],Preroll 1.25g,2774,1.99,6.56,3.3x,412723
Landrace        [ÿproductÿdetailsÿ],Flower 1.0g,11144,1.99,7.14,3.6x,419395
Hypothesis Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,10822,2,6.28,3.1x,416519
Tropic Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,6322,2,6.16,3.1x,412106
Tom's Hemp&cannabis        [ÿproductÿdetailsÿ],Preroll 0.75g,1800,2,5.79,2.9x,412648
4evergreen Trees        [ÿproductÿdetailsÿ],Preroll 0.75g,2370,2,6.04,3.0x,413855
Alphapheno        [ÿproductÿdetailsÿ],Preroll 1.0g,2200,2,5.5,2.8x,412104
Bondi Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,23172,2,7.27,3.6x,412141
Inland Empire Growing        [ÿproductÿdetailsÿ],Preroll 1.0g,11820,2,6.64,3.3x,412760
Olympus Horticulture        [ÿproductÿdetailsÿ],Preroll 1.0g,1116,2,5.57,2.8x,413107
Conscious Family Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1382,2,5.78,2.9x,413431
W.o.w. Industries        [ÿproductÿdetailsÿ],Preroll 1.0g,1600,2,5.56,2.8x,413922
Virginia Company        [ÿproductÿdetailsÿ],Preroll 1.0g,2130,2,6.22,3.1x,414038
Happy Hill Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2940,2,5.07,2.5x,416800
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 1.5g,3110,2,6.72,3.4x,412294
Alphapheno        [ÿproductÿdetailsÿ],Flower 1.0g,1200,2,6.8,3.4x,412104
Jbc Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1080,2,7.78,3.9x,412196
Northwest Recreational        [ÿproductÿdetailsÿ],Flower 1.0g,2300,2,6.46,3.2x,412612
American Best Supply        [ÿproductÿdetailsÿ],Flower 1.0g,3250,2,5.76,2.9x,412624
The Four Twenty Collection        [ÿproductÿdetailsÿ],Flower 1.0g,2640,2,5.52,2.8x,413134
Essential Flower        [ÿproductÿdetailsÿ],Flower 1.0g,6378,2,5.81,2.9x,414233
Cannavision        [ÿproductÿdetailsÿ],Flower 1.0g,1420,2,4.92,2.5x,415717
Golden Leaf        [ÿproductÿdetailsÿ],Flower 1.0g,18624,2,5.9,2.9x,416548
Hill Top Growers        [ÿproductÿdetailsÿ],Flower 1.0g,3614,2,5.37,2.7x,425153
Jv Ranch        [ÿproductÿdetailsÿ],Concentrate 0.5g,1492,2,7.37,3.7x,416125
Sticky Budz        [ÿproductÿdetailsÿ],Preroll 1.0g,13181,2.01,6.41,3.2x,412076
Sugarleaf Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,11087,2.02,6.77,3.3x,423406
Landrace        [ÿproductÿdetailsÿ],Preroll 1.0g,1480,2.04,6.69,3.3x,419395
Svin Garden        [ÿproductÿdetailsÿ],Preroll 1.0g,1112,2.05,6.6,3.2x,415820
D And L Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,1488,2.05,6.78,3.3x,416400
Leef        [ÿproductÿdetailsÿ],Preroll 1.0g,2570,2.06,7.67,3.7x,413085
Green Zombie        [ÿproductÿdetailsÿ],Preroll 1.0g,1168,2.06,4.92,2.4x,414114
O.b.c. LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,2292,2.06,6.9,3.4x,416544
Kali Products        [ÿproductÿdetailsÿ],Flower 1.0g,5175,2.06,7.97,3.9x,416973
Saturn Group        [ÿproductÿdetailsÿ],Preroll 1.0g,33762,2.07,6.08,2.9x,412112
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.0g,4495,2.07,6.49,3.1x,412358
Grow Op Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,511995,2.07,6.28,3.0x,413287
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 2.0g,6132,2.07,5.89,2.9x,412630
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,6512,2.07,7.64,3.7x,416539
Cloud 9 Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,4385,2.08,7.62,3.7x,412704
Central Farms LLC        [ÿproductÿdetailsÿ],Flower 1.0g,9424,2.08,7.32,3.5x,412792
G-7 Grow        [ÿproductÿdetailsÿ],Flower 1.0g,11754,2.09,7.67,3.7x,417526
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 1.0g,27465,2.12,6.37,3.0x,412149
Kush Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1525,2.12,6.52,3.1x,414287
Monkey Grass Farms        [ÿproductÿdetailsÿ],Flower 1.0g,7269,2.12,7.37,3.5x,412618
New Horizon Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,8635,2.13,6.48,3.0x,415752
Perma        [ÿproductÿdetailsÿ],Preroll 1.0g,1338,2.14,6.31,2.9x,416124
Top Shelf        [ÿproductÿdetailsÿ],Preroll 1.0g,72553,2.14,7.39,3.4x,423396
Desert Valley Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2319,2.14,6.1,2.9x,412260
"Sea of Green, LLC        [ÿproductÿdetailsÿ]",Flower 1.0g,1318,2.14,11.78,5.5x,412819
Boggy Boon        [ÿproductÿdetailsÿ],Preroll 1.0g,12850,2.15,7.42,3.5x,416935
Sticky Budz        [ÿproductÿdetailsÿ],Flower 1.0g,41355,2.15,6.72,3.1x,412076
Lost Lake Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,1180,2.16,4.72,2.2x,412978
