Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Happy Hill Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,9804,2.02,6.51,3.2x,416800
Mas Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,8796,2.03,8.07,4.0x,414232
Kali Products        [ÿproductÿdetailsÿ],Flower 1.0g,3218,2.03,8.59,4.2x,416973
Jbc Grow        [ÿproductÿdetailsÿ],Preroll 1.0g,2998,2.04,7.27,3.6x,413631
The Four Twenty Collection        [ÿproductÿdetailsÿ],Flower 1.0g,1482,2.04,5.93,2.9x,413134
Hanging Gardens of Central Washington        [ÿproductÿdetailsÿ],Flower 1.0g,4427,2.04,7.12,3.5x,416134
Emerald City Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1838,2.04,6.36,3.1x,416433
D And L Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,3330,2.05,6.84,3.3x,416400
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,8774,2.05,7.18,3.5x,416539
Mountain High Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,5039,2.06,6.11,3.0x,412576
Sugarleaf Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,11565,2.06,6.98,3.4x,423406
Kettle River Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.5g,2906,2.06,6.55,3.2x,416050
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2334,2.07,6.16,3.0x,413170
Curious Ventures        [ÿproductÿdetailsÿ],Edible,3666,2.07,8.97,4.3x,416675
K&m Growers        [ÿproductÿdetailsÿ],Flower 1.0g,4660,2.08,7.74,3.7x,412249
Green Zombie        [ÿproductÿdetailsÿ],Preroll 1.0g,2090,2.09,5.18,2.5x,414114
Bella Jane's        [ÿproductÿdetailsÿ],Preroll 1.0g,6634,2.09,6.09,2.9x,416762
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 1.0g,23824,2.1,6.75,3.2x,412149
Carson Unlimited        [ÿproductÿdetailsÿ],Flower 1.0g,2348,2.1,7.61,3.6x,420287
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.75g,25787,2.11,6.73,3.2x,423396
Ladyhelm Farm        [ÿproductÿdetailsÿ],Flower 1.0g,2656,2.11,6.54,3.1x,412372
Grow Op Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,422258,2.12,6.72,3.2x,413287
Cordus        [ÿproductÿdetailsÿ],Preroll 1.0g,6858,2.12,7.62,3.6x,418921
Olympia Farm Works        [ÿproductÿdetailsÿ],Preroll 1.0g,1060,2.12,6.78,3.2x,423537
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 1.0g,5175,2.13,6.01,2.8x,412762
Green Acre Pharms        [ÿproductÿdetailsÿ],Preroll 1.0g,10553,2.14,7.36,3.4x,413099
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 0.75g,2054,2.16,5.99,2.8x,412258
Secret Gardens of Washington        [ÿproductÿdetailsÿ],Preroll 0.75g,3625,2.16,6.64,3.1x,412431
Sticky Budz        [ÿproductÿdetailsÿ],Preroll 1.0g,9471,2.17,7.45,3.4x,412076
Fantasy Farms LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,3162,2.17,5.97,2.8x,413858
Sativa Group        [ÿproductÿdetailsÿ],Preroll 1.0g,6016,2.2,6.93,3.1x,422627
Green Chiefs        [ÿproductÿdetailsÿ],Preroll 1.0g,6925,2.21,7.35,3.3x,412672
Mother Earth Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1575,2.21,8.21,3.7x,417307
Washington Source        [ÿproductÿdetailsÿ],Flower 1.0g,1128,2.21,5.34,2.4x,418443
Avitas        [ÿproductÿdetailsÿ],Preroll 0.5g,3292,2.25,6.85,3.0x,412759
